שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה,יום עברי,חודש עברי,שנה עברית,קרדיט
בקעה,מקלט ציבורי מס' - 988,​קיבוץ גלויות 5,140,מקלט,,112,עיריית ירושלים - אגף חירום וביטחון,31.7558728,35.2192529,"קיבוץ גלויות 5, ירושלים",,,"בקעה, מקלט ציבורי",,,,
סנהדריה,מקלט ציבורי מספר 602,הסנהדרין 6,100,מקלט,,80,ישיבת חסידי מודזיץ,31.79755634,35.21872527,"הסנהדרין 6, ירושלים",,,"סנהדריה, מקלט ציבורי",,,,
שמואל הנביא,מקלט ציבורי מספר 604,חכם שמעון 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.79541215,35.2188737,"הרב שמעון חכם 8, ירושלים",,,"שמואל הנביא, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 606,פנינה 1,80,מקלט,,64,"עיריית ירושלים, אגף חירום וביטחון",31.79562485,35.21447235,"פנינה 1, ירושלים",,,"רוממה, מקלט ציבורי",,,,
בוכרים,מקלט ציבורי מספר 609,ישא ברכה 23,250,מקלט,,200,"עיריית ירושלים, אגף חירום וביטחון",31.79229011,35.2176755,"ישא ברכה 23, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי",,,,
בוכרים,מקלט ציבורי מספר 612,יואל 16,50,מקלט,,40,חסידות קרלין,31.78987955,35.22089024,"יואל 16, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי",,,,
שמואל הנביא,מקלט ציבורי מספר 616,שמואל הנביא 61,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.79249233,35.22309569,"שמואל הנביא 61, ירושלים‭",,,"שמואל הנביא, מקלט ציבורי",,,,
שמואל הנביא,מקלט ציבורי מספר 618 - מקלט נגיש,שמואל הנביא 66,110,מקלט,מקלט נגיש,137,"""בית הכנסת ""אוהלי יעקב",31.79286073,35.22315682,"שמואל הנביא 66, ירושלים",,,"שמואל הנביא, מקלט ציבורי, מקלט נגיש",,,,
גאולה,מקלט ציבורי מספר ​621,הושע 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.78971852,35.2196259,"הושע 8, ירושלים",,,"גאולה, מקלט ציבורי",,,,
מאה שערים,מקלט ציבורי מספר 632,מאה שערים 87,80,מקלט,,64,"עיריית ירושלים, אגף חירום וביטחון",31.78581751,35.22459891,"מאה שערים 87, ירושלים",,,"מאה שערים, מקלט ציבורי",,,,
גאולה,מקלט ציבורי מספר 637 - מקלט נגיש,נחמן מברלסב 18,100,מקלט,מקלט נגיש,80,"עיריית ירושלים, אגף חירום וביטחון",31.7877374,35.21997837,"נחמן מברלסב 18, ירושלים",,,"גאולה, מקלט ציבורי, מקלט נגיש",,,,
מרכז העיר,מקלט ציבורי מספר 639,פינס מיכל 2,250,מקלט,,200,דגל ירושלים,31.78596058,35.21521827,"יחיאל מיכל פינס 2, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
מקור ברוך,מקלט ציבורי מספר 641,כפר נחום 25,180,מקלט,,144,"""עמותת ""המאור נתיב קודש",31.78927688,35.21424313,"כפר נחום 25, ירושלים",,,"מקור ברוך, מקלט ציבורי",,,,
מקור ברוך,מקלט ציבורי מספר 643,מלכי ישראל 73,400,מקלט,,320,"עיריית ירושלים, אגף חירום וביטחון",31.790598,35.21084562,"מלכי ישראל 73, ירושלים",,,"מקור ברוך, מקלט ציבורי",,,,
מחנה יהודה,מקלט ציבורי מספר 648,נהר פרת 15,236,מקלט,,188,"עיריית ירושלים, אגף חירום וביטחון",31.78336583,35.20939807,"נהר פרת 15, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
נחלאות,מקלט ציבורי מספר 657,צפת 21,500,מקלט,,400,"""עיריית ירושלים- אגף חברה, תנועת הנוער ""אריאל",31.77968218,35.21119735,"צפת 21, ירושלים",,,"נחלאות - לב העיר, מקלט ציבורי",,,,
רחביה,מקלט ציבורי מספר 658,אבן עזרא 13,80,מקלט,,64,"עיריית ירושלים, אגף חירום וביטחון",31.7756014,35.2141171,"אבן עזרא 13, ירושלים",,,"רחביה, מקלט ציבורי",,,,
רחביה,מקלט ציבורי מספר 659,אבן גבירול 15,160,מקלט,,128,"עיריית ירושלים, אגף חירום וביטחון",31.77511106,35.21539432,"אבן גבירול 15, ירושלים",,,"רחביה, מקלט ציבורי",,,,
קריית שמואל,מקלט ציבורי מספר 667,"הפלמ""ח 22",180,מקלט,,144,"עיריית ירושלים, אגף חירום וביטחון",31.7674871,35.21104393,"הפלמ""ח 22, ירושלים",,,"קריית שמואל, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 670,בוסתנאי 9,140,מקלט,,112,"עיריית ירושלים, אגף חירום וביטחון",31.76565605,35.21287922,"בוסתנאי 9, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
קטמון הישנה,מקלט ציבורי מספר 671 - מקלט נגיש,"כ""ט בנובמבר 22",160,מקלט,מקלט נגיש,128,"עיריית ירושלים, אגף חירום וביטחון",31.76616707,35.21380395,"כ""ט בנובמבר 22, ירושלים",,,"קטמון הישנה, מקלט נגיש, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 672,רות 10,150,מקלט,,120,"עיריית ירושלים, אגף חירום וביטחון",31.76506375,35.21736907,"רות 10, ירושלים",גינות העיר,מושבה גרמנית - 520,"המושבה הגרמנית, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 673,מלל 3,114,מקלט,,91,"עיריית ירושלים, אגף חירום וביטחון",31.78075326,35.21629892,"מלל 3, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 674,באכר 7,150,מקלט,,120,"עיריית ירושלים, אגף חירום וביטחון",31.76617023,35.218209,"באכר 7, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 676,אמיל זולא 6,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76455263,35.22099657,"אמיל זולא 6, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 677,וינדהם דידס 6,290,מקלט,,232,"עיריית ירושלים, אגף חירום וביטחון",31.76403005,35.22126489,"וינדהם דידס 6, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
תלפיות,מקלט ציבורי מספר 679,דרך חברון 59,200,מקלט,,160,"עיריית ירושלים, אגף חירום וביטחון",31.76343666,35.2256433,"דרך חברון 59, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר 681,אפרים 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75959347,35.2189683,"אפרים 8, ירושלים",,,"בקעה, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר 682,ראובן 14,​135,מקלט,,108,"עיריית ירושלים, אגף חירום וביטחון",31.75951784,35.2188286,"ראובן 14, ירושלים",,,"בקעה, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר 683,דרך חברון 54,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.76002206,35.2235262,"דרך חברון 54, ירושלים",,,"בקעה, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר 684,אסתר המלכה 6,​295,מקלט,,236,"עיריית ירושלים, אגף חירום וביטחון",31.75916119,35.2229651,"אסתר המלכה 6, ירושלים",,,"בקעה, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר 685,מרדכי היהודי 6,200,מקלט,,160,"עיריית ירושלים, אגף חירום וביטחון",31.75722449,35.22199465,"מרדכי היהודי 6, ירושלים",,,"בקעה, מקלט ציבורי",,,,
תלפיות,מקלט ציבורי מספר 688,אפרתה 18,200,מקלט,,160,"עיריית ירושלים, אגף חירום וביטחון",31.75254609,35.22182315,"אפרתה 18, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי",,,,
תלפיות,מקלט ציבורי מספר 689,בן גבריאל 10,90,מקלט,,72,"עיריית ירושלים, אגף חירום וביטחון",31.74909478,35.2200234,"בן גבריאל 10, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי",,,,
תלפיות,מקלט ציבורי מספר 690,לייב יפה 1,240,מקלט,,192,"עיריית ירושלים, אגף חירום וביטחון",31.74919744,35.2234383,"לייב יפה 1, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי",,,,
תלפיות,מקלט ציבורי מספר 691,דרך בית לחם 93,440,מקלט,,352,"עיריית ירושלים, אגף חירום וביטחון",31.75208777,35.21891075,"דרך בית לחם 93, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 693,יותם 9,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.76274013,35.21468592,"יותם 9, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
המושבה הגרמנית,מקלט ציבורי מספר 695,אמציה 2,250,מקלט,,200,"בית כנסת חב""ד",31.76231446,35.21556613,"אמציה 2, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
קטמון הישנה,מקלט ציבורי מספר 696,ריש לקיש 3,164,מקלט,,131,"עיריית ירושלים, אגף חירום וביטחון",31.76129246,35.21325687,"ריש לקיש 3, ירושלים",,,"קטמון הישנה, מקלט ציבורי",,,,
עמק רפאים,מקלט ציבורי מספר 697,עמק רפאים 68,160,מקלט,,128,"עיריית ירושלים, אגף חירום וביטחון",31.760935007382873,35.215828074320804,"עמק רפאים 68, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 702,חלפתא 12,380,מקלט,,304,"עיריית ירושלים, אגף חירום וביטחון",31.75967715,35.20753835,"רבי חלפתא 12, ירושלים",,,"קטמון, מקלט ציבורי",,,,
קטמון הישנה,מקלט ציבורי מספר 703,יוחנן בן זכאי 53,170,מקלט,,136,"""בית כנסת ""זכות אבות",31.7563287,35.20489024,"רבן יוחנן בן זכאי 53, ירושלים",,,"קטמון הישנה, מקלט ציבורי",,,,
גבעת הורדים (רסקו),מקלט ציבורי מספר 715,דוד שמעוני 52,180,מקלט,,144,"עיריית ירושלים, אגף חירום וביטחון",31.76136372,35.20108822,"דוד שמעוני 52, ירושלים",,,"רסקו - גבעת הורדים, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 718 - מקלט נגיש,רבי צדוק 6,120,מקלט,מקלט נגיש,96,מינהל קהילתי גוננים,31.75450818,35.19382965,"רבי צדוק 6, ירושלים",,,"קטמון, מקלט ציבורי, מקלט נגיש",,,,
קריית היובל,מקלט ציבורי מספר 721,אורוגוואי 29,130,מקלט,,104,"עיריית ירושלים, אגף בריאות הציבור, מינהל קהילה",31.75547995,35.17732316,"אורוגואי 29, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 722,שטרן אברהם 67,130,מקלט,,104,"עיריית ירושלים, אגף חירום וביטחון",31.75637467,35.17666523,"אברהם שטרן 67, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 723- מקלט נגיש,שטרן אברהם 51,130,מקלט,מקלט נגיש,104,"עיריית ירושלים, אגף חירום וביטחון",31.75424528,35.17664425,"אברהם שטרן 51, ירושלים",,,"קריית יובל, מקלט נגיש, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 724,וולטה העלית 9,90,מקלט,,72,"עיריית ירושלים, אגף חירום וביטחון",31.75837336,35.17758566,"וולטה עילית 9, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 726,הנורית 123,350,מקלט,,280,"עיריית ירושלים, אגף חירום וביטחון",31.75304368,35.17212095,"הנורית 123, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 726א',הנורית 124,120,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75270968,35.17106527,"הנורית 124, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 726ב',הנורית 125,120,מקלט,,96,"עיריית ירושלים, אגף חירום וביטחון",31.75252344,35.171552,"הנורית 125, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 727,הנורית 104 (34),185,מקלט,,148,"עיריית ירושלים, אגף חירום וביטחון",31.75457225,35.17056825,"הנורית 104, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 728,הנורית 102 (32),185,מקלט,,148,"עיריית ירושלים, אגף חירום וביטחון",31.754851,35.17017787,"הנורית 102, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
קריית מנחם,מקלט ציבורי מספר 729,דהומיי 7,250,מקלט,,200,מינהל קהילתי גנים,31.75615742,35.1658768,"דהומיי 7, ירושלים",,,"קריית מנחם, מקלט ציבורי",,,,
קריית מנחם,מקלט ציבורי מספר 730,דהומי 3,196,מקלט,,156,"בית הכנסת ""מגן דוד",31.75696437,35.16699617,"דהומיי 3, ירושלים",,,"קריית מנחם, מקלט ציבורי",,,,
קריית מנחם,מקלט ציבורי מספר 734 - מקלט נגיש,איסלנד 17,130,מקלט,מקלט נגיש,104,"עיריית ירושלים, אגף חירום וביטחון",31.75967074,35.16537727,"איסלנד 17, ירושלים",,,"קריית מנחם, מקלט נגיש, מקלט ציבורי",,,,
קריית מנחם,מקלט ציבורי מספר 734א - מקלט נגיש,איסלנד 17,170,מקלט,מקלט נגיש,136,"עיריית ירושלים, אגף חירום וביטחון",31.759495,35.165392,"איסלנד 17, ירושלים",,,"קריית מנחם, מקלט נגיש, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 736,צ'ילה 8,200,מקלט,,160,מינהל קהילתי יובלים,31.76074271,35.1704658,"צ'ילה 8, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 737 - מקלט נגיש,יאנוש קורצ'אק 32,150,מקלט,מקלט נגיש,120,"""בית כנסת ""משכן מרדכי",31.76016281,35.1720983,"יאנוש קורצ'אק 32, ירושלים",,,"קריית יובל, מקלט ציבורי, מקלט נגיש",,,,
קריית היובל,מקלט ציבורי מספר 738,אנילביץ 78,90,מקלט,,72,"""תנועת הנוער ""בני עקיבא",31.76217764,35.17317009,"אנילביץ' 78, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 739,שמורק 3,90,מקלט,,72,"עיריית ירושלים, אגף חברה תנועת נוער השומר הצעיר",31.76613405,35.17604607,"א.מ. שמורק 3, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
בית וגן,מקלט ציבורי מספר 742,שערי תורה 7,270,מקלט,,216,"עיריית ירושלים, אגף חירום וביטחון",31.76591212,35.18298046,"שערי תורה 7, ירושלים",,,"בית וגן, מקלט ציבורי",,,,
בית וגן,מקלט ציבורי מספר 743,בית וגן 39,115​,מקלט,,92,"עיריית ירושלים, אגף חירום וביטחון",31.76926455,35.18451955,"בית וגן 39, ירושלים",בית וגן,בית וגן - 60,"בית וגן, מקלט ציבורי",,,,
בית הכרם,מקלט ציבורי מספר 744,הבנאי 4,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.77512976,35.19041839,"הבנאי 4, ירושלים",,,"בית הכרם, מקלט ציבורי",,,,
בית הכרם,מקלט ציבורי מספר 745,הבנאי 30,170​,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.7775352,35.1922193,"הבנאי 30, ירושלים",,,"בית הכרם, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 750,זכרון יעקב 5,130,מקלט,,104,מינהל קהילתי רוממה,31.79611804,35.20083957,"זכרון יעקב 5, ירושלים",,,"רוממה, מקלט ציבורי",,,,
מורשה,מקלט ציבורי מספר 751,"הע""ח 10",100,מקלט,,80,בית ספר לצילום מוסררה,31.78310141,35.22640407,"הע""ח 10, ירושלים",,,"מוסררה - מורשה, מקלט ציבורי",,,,
מורשה,מקלט ציבורי מספר 752,"הע""ח 21",100,מקלט,,80,בית ספר לצילום מוסררה,31.78155416,35.22677275,"הע""ח 21, ירושלים",,,"מוסררה - מורשה, מקלט ציבורי",,,,
